f1,f2,f3,f4,o
4.6,3.4,1.4,0.3,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.9,3.1,6.876657858,0.1,Iris-setosa
4.4,3,1.3,2.333837305,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
5.7,2.8,4.5,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5,2,3.5,1,Iris-versicolor
5.9,3,4.2,1.5,Iris-versicolor
7.142159543,2.4,3.8,0.913589399,Iris-versicolor
5.6,4.34878914,4.1,1.3,Iris-versicolor
5.5,2.5,4,0.680352745,Iris-versicolor
5.1,2.363455913,3,1.1,Iris-versicolor
6.213668102,2.8,6.182621692,1.3,Iris-versicolor
6.3,2.9,5.6,1.8,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
5.7,2.5,5,2,Iris-virginica
7.2,3,5.8,1.6,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.9,3.8,6.4,2,Iris-virginica
5.8,2.912236244,5.1,1.9,Iris-virginica
6.7,3,5.2,2.3,Iris-virginica
4.642756654,2.5,5,1.9,Iris-virginica
4.9,3.1,4.015681348,0.1,Iris-setosa
5,3.5,1.6,0.6,Iris-setosa
6.5,2.8,4.6,1.5,Iris-versicolor
7.7,2.6,6.9,2.3,Iris-virginica
5,3.4,1.5,0.2,Iris-setosa
4.8,3,1.4,0.1,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.8,3.656676256,1.6,0.2,Iris-setosa
5.5,2.742419752,1.4,0.2,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
4.8,3,1.4,0.3,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
7.154022822,3.7,1.5,0.2,Iris-setosa
5.5,2.3,4,1.3,Iris-versicolor
6.3,3.3,6.427265942,1.6,Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor
6,2.2,4,1,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor
5.5,2.4,3.7,1,Iris-versicolor
4.97644829,3.1,4.7,1.5,Iris-versicolor
6.5,3,3.110287784,1.649504995,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.5,3.2,5.1,1.198891722,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
4.886560743,3.2,6,1.8,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.5,3,5.2,2,Iris-virginica
6.2,3.4,5.4,1.254025508,Iris-virginica
5.9,4.137635077,3.895789527,1.8,Iris-virginica
4.7,3.2,1.3,0.2,Iris-setosa
6.9,3.2,5.7,2.3,Iris-virginica
5.1,3.5,1.4,0.2,Iris-setosa
4.6,3.1,1.5,1.258358172,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa
4.6,3.6,1,0.2,Iris-setosa
5,3.4,1.6,0.4,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
5,3.3,1.4,0.2,Iris-setosa
5.94210208,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor
6.655913631,2.3,4.4,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
5,2.3,3.3,1,Iris-versicolor
7.1,2.136436916,5.9,2.1,Iris-virginica
6.8,3,5.5,2.1,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.1,3,4.419939232,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
6.916094961,2.8,5.6,2.035922499,Iris-virginica
7.7,3,6.1,1.817758091,Iris-virginica
6.4,3.111639232,5.5,1.8,Iris-virginica
6,3.79275492,4.8,1.8,Iris-virginica
5.8,4,1.2,0.2,Iris-setosa
6.6,2.9,4.917134289,1.3,Iris-versicolor
6.8,2.8,2.21965793,1.4,Iris-versicolor
4.9,3,1.4,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
4.3,3,1.1,0.1,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
5,3,1.6,0.2,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
7.66443933,3.2,1.2,0.2,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
5,3.5,1.3,0.3,Iris-setosa
6.9,4.367701472,4.9,1.5,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
6.7,3,5,1.7,Iris-versicolor
5.8,4.235735308,3.9,1.2,Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor
