,f1,f2,f3,f4,o
0,5,3.4,1.5,0.2,Iris-setosa
1,5.148910104,3,1.4,0.578345346,Iris-setosa
2,5.1,3.7,1.5,0.4,Iris-setosa
3,4.8,3.1,4.882894053,0.2,Iris-setosa
4,5.5,4.2,2.945790905,1.686955177,Iris-setosa
5,4.670607255,3.4,4.279395693,0.2,Iris-setosa
6,4.8,3,1.4,0.3,Iris-setosa
7,4.6,3.2,1.4,0.186652831,Iris-setosa
8,5.3,3.7,1.5,0.2,Iris-setosa
9,5.5,2.3,4,1.3,Iris-versicolor
10,6.3,2.973604717,4.7,1.6,Iris-versicolor
11,4.9,2.4,3.3,1,Iris-versicolor
12,6,2.2,4,1,Iris-versicolor
13,6.1,2.8,4,1.3,Iris-versicolor
14,6.1,2.8,4.7,1.092558944,Iris-versicolor
15,6.4,3.237405159,4.3,1.3,Iris-versicolor
16,5.7,2.6,3.5,1,Iris-versicolor
17,5.5,2.4,3.7,2.434077359,Iris-versicolor
18,6.7,3.1,4.7,1.5,Iris-versicolor
19,6.920662795,3,5.8,2.2,Iris-virginica
20,7.3,2.9,6.3,1.8,Iris-virginica
21,6.5,3.2,5.1,2,Iris-virginica
22,6.7,3.3,5.153549961,2.1,Iris-virginica
23,7.2,3.2,6,1.8,Iris-virginica
24,6.3,4.315214076,5.1,1.5,Iris-virginica
25,6.5,4.000842698,5.2,2,Iris-virginica
26,7.195153191,3.4,4.163444699,2.3,Iris-virginica
27,5.9,3,5.1,1.8,Iris-virginica
28,6.031258407,3.2,1.3,0.2,Iris-setosa
29,6.9,3.2,5.7,2.3,Iris-virginica
30,5.1,2.165293158,1.4,0.2,Iris-setosa
31,4.6,3.1,1.5,0.2,Iris-setosa
32,4.569077056,2.9,3.385503636,0.2,Iris-setosa
33,5.4,3.4,1.7,0.2,Iris-setosa
34,4.6,3.6,1,0.2,Iris-setosa
35,5,3.4,1.6,0.4,Iris-setosa
36,4.7,3.2,1.6,0.2,Iris-setosa
37,5.4,3.4,1.5,0.4,Iris-setosa
38,5,3.3,6.802860049,0.2,Iris-setosa
39,7,3.2,4.955180737,1.4,Iris-versicolor
40,6.4,3.2,4.5,1.5,Iris-versicolor
41,5.6,3,4.5,1.5,Iris-versicolor
42,6.3,2.5,4.9,1.5,Iris-versicolor
43,6.182673905,3,4.4,1.4,Iris-versicolor
44,6.3,2.3,4.4,0.653751372,Iris-versicolor
45,5.5,2.6,6.899234038,1.2,Iris-versicolor
46,5,3.39898075,3.3,1,Iris-versicolor
47,7.1,3,5.9,2.1,Iris-virginica
48,6.8,3,5.5,2.1,Iris-virginica
49,5.8,2.8,5.1,2.4,Iris-virginica
50,6.3,2.7,4.9,1.8,Iris-virginica
51,6.1,3,4.9,1.8,Iris-virginica
52,6.4,2.8,5.6,2.1,Iris-virginica
53,6.4,3.567415839,5.6,2.2,Iris-virginica
54,7.7,3,6.1,2.3,Iris-virginica
55,6.4,3.1,3.675890572,1.8,Iris-virginica
56,6,3,4.8,1.8,Iris-virginica
57,5.8,2.808378648,1.2,0.2,Iris-setosa
58,6.6,2.9,4.938870585,1.3,Iris-versicolor
59,6.8,2.168024376,4.8,1.4,Iris-versicolor
60,7.387596325,3,1.16277063,0.2,Iris-setosa
61,5.4,3.9,1.7,0.4,Iris-setosa
62,4.3,3,1.1,0.1,Iris-setosa
63,5.7,4.4,1.5,0.4,Iris-setosa
64,5.1,3.3,1.7,0.5,Iris-setosa
65,5,3,1.6,0.2,Iris-setosa
66,5.2,4.214571619,1.729485898,0.1,Iris-setosa
67,5,3.2,1.2,0.2,Iris-setosa
68,5.5,3.5,1.3,0.2,Iris-setosa
69,5,3.5,1.3,0.3,Iris-setosa
70,6.9,3.1,4.9,1.5,Iris-versicolor
71,5.8,2.7,4.1,1,Iris-versicolor
72,6.2,2.2,4.5,1.5,Iris-versicolor
73,5.951537342,3,5.877440848,1.974161303,Iris-versicolor
74,5.8,2.7,3.9,1.2,Iris-versicolor
75,6,2.7,5.1,0.716739158,Iris-versicolor
76,5.6,2.7,1.772946058,1.3,Iris-versicolor
77,5.7,2.9,4.2,1.939873225,Iris-versicolor
78,4.471507088,3.3,6,2.5,Iris-virginica
79,5.8,2.7,5.1,1.9,Iris-virginica
80,6.4,2.7,5.3,0.564733772,Iris-virginica
81,6.4,3.2,5.3,0.179243393,Iris-virginica
82,7.7,3.8,6.7,2.2,Iris-virginica
83,5.021346431,2.8,4.9,2,Iris-virginica
84,6.1,2.6,5.6,1.4,Iris-virginica
85,6.9,3.1,3.48643034,2.378389571,Iris-virginica
86,6,2.9,4.5,1.87127611,Iris-versicolor
87,6,3.4,4.5,1.6,Iris-versicolor
88,4.733015044,3,5.5,1.8,Iris-virginica
89,6.2,2.8,4.8,1.8,Iris-virginica
90,5,3.6,1.4,0.2,Iris-setosa
91,4.8,3.4,6.333282007,0.2,Iris-setosa
92,5.4,3.9,1.3,0.601973805,Iris-setosa
93,5.1,3.5,1.4,0.3,Iris-setosa
94,4.420632857,3.4,1.9,0.309004387,Iris-setosa
95,5.2,3.5,1.5,0.2,Iris-setosa
96,5.2,4.224380062,1.4,0.487719766,Iris-setosa
97,4.5,3.143840167,1.3,1.030666394,Iris-setosa
98,5.1,3.8,1.9,0.4,Iris-setosa
99,6.1,2.9,4.7,1.4,Iris-versicolor
100,5.6,2.9,3.6,1.3,Iris-versicolor
101,6.7,4.198730385,4.4,1.757975584,Iris-versicolor
102,5.6,2.5,3.9,1.1,Iris-versicolor
103,5.9,3.2,4.8,1.8,Iris-versicolor
104,5.4,2.743170193,4.5,1.5,Iris-versicolor
105,6.1,2.753490578,4.6,1.4,Iris-versicolor
106,5.8,2.6,4,1.2,Iris-versicolor
107,6.856121558,3,4.2,1.2,Iris-versicolor
108,6.2,2.9,4.3,1.3,Iris-versicolor
109,7.6,3,6.6,2.1,Iris-virginica
110,7.583886366,2.315336263,4.5,1.7,Iris-virginica
111,6.7,2.5,5.8,1.8,Iris-virginica
112,4.583052253,2.8,6.7,2,Iris-virginica
113,6.3,3.4,5.6,2.4,Iris-virginica
114,6.9,3.1,5.4,2.1,Iris-virginica
115,7.570227424,3.1,5.6,2.4,Iris-virginica
116,6.8,3.2,5.9,2.3,Iris-virginica
117,6.7,4.102713642,5.7,2.5,Iris-virginica
118,7.092419487,3.2,1.3,0.2,Iris-setosa
119,6,2.2,5,1.5,Iris-virginica
120,4.6,3.4,1.4,0.3,Iris-setosa
121,5.4,3.228844038,1.5,0.2,Iris-setosa
122,5.7,3.8,6.857099036,1.734939685,Iris-setosa
123,5.1,3.8,1.5,0.3,Iris-setosa
124,4.9,3.1,1.5,0.1,Iris-setosa
125,6.752913694,3.1,1.5,0.1,Iris-setosa
126,4.99667598,3,4.655269451,2.094026194,Iris-setosa
127,5.1,3.8,1.6,0.534392057,Iris-setosa
128,5.7,2.170296353,4.5,1.3,Iris-versicolor
129,5.2,2.7,3.9,1.4,Iris-versicolor
130,5,2,2.378933276,1,Iris-versicolor
131,5.9,3,4.2,1.5,Iris-versicolor
132,5.5,2.4,1.784510274,1.1,Iris-versicolor
133,5.6,3,5.864684008,1.3,Iris-versicolor
134,5.5,2.5,4,0.996076992,Iris-versicolor
135,6.588809464,2.5,3,1.1,Iris-versicolor
136,5.7,2.8,4.1,1.3,Iris-versicolor
137,6.038191807,2.9,5.6,1.8,Iris-virginica
138,7.2,2.782813755,6.1,2.5,Iris-virginica
139,5.7,2.5,5,2,Iris-virginica
140,7.2,3,5.8,1.6,Iris-virginica
141,7.4,3.381531276,6.1,1.9,Iris-virginica
142,7.9,4.370234626,6.4,1.321461364,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
144,6.7,3.124133565,5.2,2.3,Iris-virginica
145,5.160459579,2.5,5,1.9,Iris-virginica
146,4.9,3.1,1.5,0.1,Iris-setosa
147,5,3.5,1.6,0.6,Iris-setosa
148,6.5,2.8,4.6,1.5,Iris-versicolor
149,7.7,2.6,4.158800141,2.3,Iris-virginica
