,f1,f2,f3,f4
0,5,3.4,1.5,0.2
1,5.718742367,2.193493416,1.4,0.1
2,5.1,3.7,4.00458202,0.4
3,4.8,2.349668211,1.6,1.854973797
4,5.5,4.2,1.4,0.2
5,5.1,3.4,1.5,0.2
6,4.8,3,6.118155489,0.3
7,5.976282528,3.2,1.4,0.2
8,5.3,3.7,6.825542522,0.178510005
9,4.995026641,2.259580359,4,1.3
10,6.3,3.3,4.7,1.6
11,4.9,2.4,3.3,1.913914311
12,6,2.752063684,4,1
13,6.1,2.060896981,5.204390208,0.832580227
14,6.1,3.994336893,4.7,1.2
15,6.4,2.9,4.3,0.404812438
16,6.94792771,2.6,3.5,1
17,5.5,2.4,3.7,1
18,6.7,3.1,4.7,1.5
19,6.985314439,3,3.546970878,2.2
20,7.3,2.9,1.328656245,1.8
21,6.5,3.2,5.1,2
22,6.7,3.3,5.7,2.1
23,6.790276261,3.2,6,1.8
24,6.3,2.8,5.1,1.5
25,6.5,3,5.2,2
26,6.2,3.4,5.4,2.383715033
27,5.9,3,5.1,1.8
28,4.7,3.2,1.3,0.2
29,6.9,3.2,5.7,2.3
30,5.1,3.5,1.4,2.18879053
31,4.6,4.193977665,1.5,0.2
32,4.4,2.9,1.4,0.2
33,5.4,3.4,1.7,0.2
34,4.6,3.6,1,0.171251139
35,4.728494735,3.4,1.6,0.4
36,6.917580997,3.2,1.6,0.2
37,5.4,3.4,2.242001738,0.4
38,5,3.242567462,1.4,0.2
39,7,4.222314304,4.7,1.4
40,6.4,3.2,4.5,1.5
41,5.6,3.086282946,4.5,1.5
42,6.3,2.5,4.9,1.360301182
43,7.285623752,3,4.4,1.4
44,6.3,2.3,4.4,1.3
45,5.5,2.6,4.4,0.40562715
46,5,2.3,3.3,1
47,7.1,2.780571398,5.9,2.1
48,6.8,3,5.5,2.1
49,5.8,2.8,2.26501614,1.613997105
50,6.606337391,2.7,3.999343796,1.8
51,6.1,3,5.649316849,1.8
52,7.094554906,2.8,5.6,2.1
53,6.4,3.530537329,4.834672701,2.2
54,7.7,3,6.1,2.3
55,6.4,3.1,4.595698621,1.8
56,5.710792894,3,4.8,1.8
57,5.8,4,1.2,1.415721258
58,6.6,2.9,4.6,1.3
59,6.8,2.8,4.8,1.4
60,4.9,3,1.4,0.2
61,5.4,3.9,1.7,0.389410424
62,4.3,3,1.1,1.18273892
63,5.7,4.4,1.5,0.4
64,5.1,2.269848103,1.7,0.5
65,5,2.638946605,4.703326253,0.2
66,5.2,4.1,1.5,0.1
67,5,3.2,1.2,0.2
68,4.993490574,3.5,1.3,0.2
69,5.835317558,3.5,3.231465902,0.3
70,6.9,3.1,1.047473017,1.5
71,5.8,2.7,4.1,1
72,6.2,2.2,4.5,1.5
73,6.7,3,5,1.7
74,5.8,2.7,3.9,0.258106495
75,6.35822685,2.7,5.1,1.6
76,5.6,2.7,4.128138966,1.3
77,5.7,2.9,4.2,1.3
78,6.3,3.3,1.115694609,2.5
79,5.8,2.105125923,5.1,1.916142832
80,6.4,2.7,5.3,1.549624214
81,6.4,3.2,5.3,2.3
82,7.7,3.8,6.7,2.2
83,5.439067182,3.807678165,4.9,2
84,6.1,2.6,5.6,1.4
85,6.523898192,4.248934601,5.098941541,2.3
86,6,3.313132068,4.5,1.5
87,6,3.4,4.5,1.6
88,6.5,3,5.5,1.8
89,6.251739341,2.8,4.8,0.370454008
90,5,3.6,6.385604067,0.2
91,5.687717452,3.4,1.6,0.2
92,5.4,3.9,1.3,0.4
93,5.1,3.5,1.4,0.3
94,4.8,3.4,1.9,0.2
95,5.2,3.5,1.5,0.2
96,5.2,3.4,1.4,0.2
