idx,f1,f2,f3,f4,o
0,5,3.4,1.5,0.2,Iris-setosa
1,4.8,3,1.4,0.1,Iris-setosa
2,5.1,3.7,1.5,0.4,Iris-setosa
3,4.8,3.1,1.6,0.2,Iris-setosa
4,5.5,4.2,1.4,0.2,Iris-setosa
5,5.1,3.4,1.5,0.2,Iris-setosa
6,4.8,3,1.4,0.3,Iris-setosa
7,4.6,3.2,1.4,0.2,Iris-setosa
8,5.3,3.7,1.5,0.2,Iris-setosa
9,5.5,3.978541157,6.550637017,1.3,Iris-versicolor
10,6.3,3.3,4.7,1.6,Iris-versicolor
11,4.9,2.4,3.3,1,Iris-versicolor
12,6,2.2,4,1,Iris-versicolor
13,6.1,2.8,4,1.3,Iris-versicolor
14,6.1,2.8,4.7,1.2,Iris-versicolor
15,6.4,2.9,4.3,1.3,Iris-versicolor
16,5.7,2.6,3.5,1,Iris-versicolor
17,5.5,2.4,3.7,1,Iris-versicolor
18,6.7,3.1,4.7,1.5,Iris-versicolor
19,5.930509661,3,1.887015687,2.2,Iris-virginica
20,7.3,2.9,4.31083885,1.8,Iris-virginica
21,6.5,3.2,5.1,2,Iris-virginica
22,6.7,3.3,5.7,2.1,Iris-virginica
23,7.2,3.2,6,1.8,Iris-virginica
24,6.3,2.8,5.1,1.5,Iris-virginica
25,6.5,3,5.2,2,Iris-virginica
26,6.2,3.4,5.4,2.3,Iris-virginica
27,5.9,3,5.1,1.123676777,Iris-virginica
28,4.7,3.2,1.3,0.2,Iris-setosa
29,6.9,3.2,5.7,2.3,Iris-virginica
30,5.1,3.5,1.4,0.2,Iris-setosa
31,4.6,3.1,1.5,0.2,Iris-setosa
32,4.4,2.9,1.4,0.2,Iris-setosa
33,5.4,3.4,1.7,0.2,Iris-setosa
34,4.6,3.6,1,0.2,Iris-setosa
35,7.197946524,3.4,1.6,0.4,Iris-setosa
36,4.7,3.2,1.6,0.2,Iris-setosa
37,5.4,3.4,1.5,0.4,Iris-setosa
38,5,3.3,1.4,0.2,Iris-setosa
39,7,3.2,4.7,1.4,Iris-versicolor
40,6.4,3.2,5.935689878,1.5,Iris-versicolor
41,5.6,3,4.5,1.5,Iris-versicolor
42,6.3,2.5,4.9,1.5,Iris-versicolor
43,6.6,3,4.4,1.4,Iris-versicolor
44,6.3,2.3,4.4,1.3,Iris-versicolor
45,5.5,2.6,4.4,1.2,Iris-versicolor
46,5,2.3,3.3,1,Iris-versicolor
47,7.1,3,5.9,2.1,Iris-virginica
48,6.8,3,5.5,2.1,Iris-virginica
49,5.8,2.8,5.1,2.4,Iris-virginica
50,6.3,2.7,4.9,0.723909224,Iris-virginica
51,6.1,3,4.9,1.8,Iris-virginica
52,6.4,2.8,5.6,2.1,Iris-virginica
53,6.4,2.8,5.6,2.2,Iris-virginica
54,7.7,3,6.1,2.3,Iris-virginica
55,6.4,3.1,5.5,1.8,Iris-virginica
56,6,3,4.8,1.8,Iris-virginica
57,5.8,4,1.43188101,0.2,Iris-setosa
58,6.6,2.9,4.6,1.3,Iris-versicolor
59,6.8,2.8,4.8,1.4,Iris-versicolor
60,4.9,3,1.4,0.2,Iris-setosa
61,5.4,3.9,1.7,0.4,Iris-setosa
62,4.3,3,1.1,0.1,Iris-setosa
63,5.7,4.4,1.5,0.4,Iris-setosa
64,5.1,3.3,1.7,0.5,Iris-setosa
65,5,3,1.6,1.203228505,Iris-setosa
66,5.2,4.1,1.5,0.1,Iris-setosa
67,5,3.2,1.2,0.2,Iris-setosa
68,5.5,3.5,1.3,0.2,Iris-setosa
69,5,3.5,1.3,0.3,Iris-setosa
70,6.9,3.1,4.9,1.5,Iris-versicolor
71,5.8,2.7,4.1,1,Iris-versicolor
72,6.2,2.2,4.5,1.5,Iris-versicolor
73,6.7,3,5,1.7,Iris-versicolor
74,5.8,2.7,3.9,1.2,Iris-versicolor
75,6,2.7,5.1,1.6,Iris-versicolor
76,5.6,2.7,4.2,1.3,Iris-versicolor
77,5.7,2.9,4.2,1.3,Iris-versicolor
78,6.3,3.3,6,2.5,Iris-virginica
79,5.8,2.7,5.1,1.9,Iris-virginica
80,6.4,2.7,5.3,1.9,Iris-virginica
81,6.4,3.2,5.3,2.3,Iris-virginica
82,7.7,3.8,6.7,2.2,Iris-virginica
83,5.6,2.8,4.9,2,Iris-virginica
84,6.1,2.6,5.6,1.4,Iris-virginica
85,6.9,3.1,5.1,2.3,Iris-virginica
86,4.637766431,2.9,4.5,1.5,Iris-versicolor
87,6,3.4,4.5,1.6,Iris-versicolor
88,6.5,3,5.5,1.8,Iris-virginica
89,6.2,2.239336406,4.8,1.8,Iris-virginica
90,5,3.6,1.4,0.2,Iris-setosa
91,4.8,3.4,1.6,0.2,Iris-setosa
92,5.4,3.9,1.3,0.4,Iris-setosa
93,5.1,3.719550195,4.190668494,0.3,Iris-setosa
94,4.8,3.4,1.9,0.2,Iris-setosa
95,5.2,3.5,1.5,0.2,Iris-setosa
96,5.306742545,3.4,1.4,0.2,Iris-setosa
97,4.5,2.3,1.3,0.3,Iris-setosa
98,5.1,3.8,1.9,2.203513683,Iris-setosa
99,6.1,2.9,4.7,1.4,Iris-versicolor
100,5.6,3.504011797,3.6,1.3,Iris-versicolor
101,6.7,3.1,4.4,1.4,Iris-versicolor
102,5.6,2.5,3.9,1.1,Iris-versicolor
103,5.9,3.2,4.8,0.373756308,Iris-versicolor
104,5.4,3,4.5,1.5,Iris-versicolor
105,6.1,3,4.6,1.4,Iris-versicolor
106,6.594672349,4.139115402,4,1.2,Iris-versicolor
107,5.7,3,4.2,1.2,Iris-versicolor
108,6.2,2.9,4.3,1.3,Iris-versicolor
109,6.612714486,3,6.6,2.1,Iris-virginica
110,4.9,2.5,4.5,1.977294838,Iris-virginica
111,6.7,2.5,5.8,1.8,Iris-virginica
112,7.7,2.8,6.7,2,Iris-virginica
113,6.3,3.4,5.6,2.4,Iris-virginica
114,6.9,3.1,5.4,2.1,Iris-virginica
115,6.7,3.1,5.6,2.4,Iris-virginica
116,6.8,3.077004441,5.9,2.3,Iris-virginica
117,6.7,3.3,5.7,2.5,Iris-virginica
118,4.4,3.2,1.3,0.2,Iris-setosa
119,6,2.2,5,1.5,Iris-virginica
120,4.6,3.698077535,1.4,0.3,Iris-setosa
121,5.4,3.7,1.5,0.2,Iris-setosa
122,5.7,3.8,1.7,1.956432586,Iris-setosa
123,5.1,2.098324725,1.5,1.456520401,Iris-setosa
124,4.9,3.1,1.5,0.1,Iris-setosa
125,4.9,3.1,1.5,0.1,Iris-setosa
126,4.4,3,1.3,0.2,Iris-setosa
127,5.1,3.8,1.6,0.2,Iris-setosa
128,5.7,2.8,4.5,1.3,Iris-versicolor
129,5.2,2.7,3.9,1.4,Iris-versicolor
130,5,2,3.5,1,Iris-versicolor
131,5.9,3,4.2,1.5,Iris-versicolor
132,5.5,2.4,3.8,1.1,Iris-versicolor
133,4.454890899,3,4.1,1.3,Iris-versicolor
134,5.5,2.5,4,1.3,Iris-versicolor
135,5.1,2.5,3,1.1,Iris-versicolor
136,5.7,2.8,4.1,1.3,Iris-versicolor
137,6.3,2.9,5.6,1.8,Iris-virginica
138,5.573963706,3.6,6.1,2.5,Iris-virginica
139,5.7,2.5,5,2,Iris-virginica
140,7.2,3,5.8,1.6,Iris-virginica
141,7.4,2.8,6.1,1.9,Iris-virginica
142,7.9,3.8,1.6166204,2,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
144,6.7,3,5.2,2.3,Iris-virginica
145,6.3,2.5,5,1.9,Iris-virginica
146,4.9,3.1,1.5,0.1,Iris-setosa
147,5,3.5,4.860242362,0.6,Iris-setosa
148,6.5,2.8,4.6,1.5,Iris-versicolor
149,7.7,2.6,6.9,2.3,Iris-virginica
