,f1,f2,f3,f4,f5,f6,f7,f8,label
0,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,MIT
1,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,NUC
2,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,MIT
3,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66,ME3
4,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,NUC
5,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,CYT
6,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,MIT
7,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22,ME3
8,0.8,0.63,0.45,0.29,0.5,0,0.51,0.22,EXC
9,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22,MIT
10,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,CYT
11,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,NUC
12,0.45,0.51,0.5,0.16,0.5,0,0.52,1,NUC
13,0.64,0.62,0.29,0.28,0.5,0,0.51,0.22,MIT
14,0.55,0.53,0.55,0.46,0.5,0,0.52,0.22,MIT
15,0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,CYT
16,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,NUC
17,0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,CYT
18,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22,NUC
19,0.64,0.6,0.57,0.19,0.5,0,0.43,0.22,NUC
20,0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,CYT
21,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,CYT
22,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,CYT
23,0.71,0.59,0.48,0.43,0.5,0,0.59,0.22,MIT
24,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,POX
25,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,CYT
26,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,CYT
27,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,CYT
28,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,CYT
29,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,ME1
30,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,MIT
31,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,MIT
32,0.5,0.4,0.56,0.7,0.5,0,0.5,0.22,MIT
33,0.67,0.68,0.46,0.29,0.5,0,0.46,0.22,MIT
34,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,CYT
35,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22,ME3
36,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,CYT
37,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,NUC
38,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22,ME2
39,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,POX
40,0.82,0.78,0.49,0.23,0.5,0,0.46,0.22,EXC
41,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,CYT
42,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,MIT
43,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,MIT
44,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,CYT
45,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22,NUC
46,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,MIT
47,0.53,0.61,0.52,0.21,0.5,0,0.55,0.3,NUC
48,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,CYT
49,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,CYT
50,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22,ME2
51,0.57,0.59,0.44,0.16,0.5,0,0.52,0.22,ME2
52,0.36,0.46,0.43,0.19,0.5,0,0.48,0.22,ME3
53,0.54,0.55,0.42,0.22,0.5,0,0.48,0.22,ME3
54,0.81,0.82,0.41,0.36,0.5,0,0.39,0.22,EXC
55,0.46,0.48,0.44,0.21,0.5,0,0.55,0.22,POX
56,0.74,0.72,0.47,0.25,0.5,0,0.57,0.22,ME1
57,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5,ME1
58,0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,CYT
59,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,NUC
60,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27,NUC
61,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36,NUC
62,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,CYT
63,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,CYT
64,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27,NUC
65,0.43,0.51,0.54,0.15,0.5,0,0.45,0.26,NUC
66,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,CYT
67,0.38,0.47,0.53,0.12,0.5,0,0.48,0.22,CYT
68,0.34,0.66,0.51,0.16,0.5,0,0.47,0.33,NUC
69,0.6,0.48,0.44,0.52,0.5,0,0.54,0.63,NUC
70,0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,CYT
71,0.48,0.46,0.38,0.29,0.5,0,0.53,0.22,ME3
72,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,NUC
73,0.29,0.68,0.47,0.26,0.5,0,0.47,0.37,NUC
74,0.43,0.39,0.51,0.28,0.5,0,0.4,0.22,NUC
75,0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,CYT
76,0.34,0.35,0.61,0.19,0.5,0,0.52,0.25,NUC
77,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22,ME3
78,0.34,0.34,0.61,0.18,0.5,0,0.52,0.32,NUC
79,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22,ME3
80,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,ME3
81,0.5,0.53,0.45,0.44,0.5,0,0.49,0.22,MIT
82,0.67,0.51,0.53,0.28,0.5,0,0.51,0.22,MIT
83,0.59,0.57,0.46,0.14,0.5,0,0.52,0.22,MIT
84,0.42,0.32,0.61,0.13,0.5,0,0.14,0.27,NUC
85,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25,ME3
86,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28,ME3
87,0.85,0.56,0.33,0.38,1,0,0.55,0.25,ERL
88,0.53,0.5,0.54,0.56,0.5,0,0.49,0.41,MIT
89,0.36,0.35,0.47,0.22,0.5,0,0.44,0.31,ME3
90,0.87,0.83,0.57,0.36,0.5,0,0.36,0.22,EXC
91,0.43,0.45,0.54,0.14,0.5,0,0.5,0.31,CYT
92,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22,ME2
93,0.58,0.76,0.4,0.37,0.5,0,0.54,0.3,ME2
94,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22,ME2
95,0.43,0.38,0.51,0.24,0.5,0,0.46,0.33,NUC
96,0.54,0.54,0.49,0.14,0.5,0,0.56,0.22,CYT
97,0.53,0.44,0.47,0.22,0.5,0,0.53,0.22,NUC
98,0.46,0.47,0.46,0.16,0.5,0,0.51,0.22,CYT
99,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33,NUC
100,0.46,0.32,0.58,0.17,0.5,0,0.61,0.25,NUC
101,0.49,0.62,0.65,0.18,0.5,0,0.46,0.43,NUC
102,0.5,0.62,0.54,0.66,0.5,0,0.49,0.22,MIT
103,0.26,0.38,0.52,0.36,0.5,0,0.48,0.56,NUC
104,0.45,0.48,0.63,0.67,0.5,0,0.48,0.22,MIT
105,0.5,0.49,0.59,0.47,0.5,0,0.49,0.36,MIT
106,0.43,0.39,0.59,0.13,0.5,0,0.41,0.43,NUC
107,0.6,0.59,0.45,0.23,0.5,0,0.55,0.22,MIT
108,0.46,0.55,0.61,0.13,0.5,0,0.47,0.22,CYT
109,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31,ME2
110,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36,MIT
111,0.51,0.42,0.56,0.38,0.5,0,0.46,0.22,MIT
112,0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24,MIT
113,0.56,0.5,0.61,0.49,0.5,0,0.46,0.28,MIT
114,0.36,0.38,0.56,0.44,0.5,0,0.48,0.22,MIT
115,0.55,0.5,0.6,0.31,0.5,0,0.46,0.27,MIT
116,0.65,0.53,0.55,0.52,0.5,0,0.47,0.27,MIT
117,0.58,0.53,0.5,0.53,0.5,0,0.47,0.31,MIT
118,0.4,0.74,0.49,0.16,0.5,0,0.51,0.22,MIT
119,0.51,0.56,0.51,0.42,0.5,0,0.53,0.36,MIT
120,0.52,0.38,0.62,0.12,0.5,0,0.41,0.28,NUC
121,0.63,0.6,0.5,0.27,0.5,0,0.55,0.22,MIT
122,0.61,0.59,0.47,0.49,0.5,0,0.54,0.22,MIT
123,0.58,0.38,0.4,0.21,0.5,0,0.5,0.22,CYT
124,0.53,0.41,0.5,0.24,1,0,0.47,0.22,CYT
125,0.58,0.56,0.52,0.25,0.5,0,0.57,0.35,NUC
126,0.49,0.6,0.55,0.17,0.5,0,0.44,0.22,CYT
127,0.56,0.63,0.52,0.2,0.5,0,0.34,0.26,NUC
128,0.37,0.41,0.45,0.14,0.5,0,0.47,0.22,CYT
129,0.35,0.5,0.44,0.27,0.5,0,0.51,0.22,CYT
130,0.44,0.34,0.61,0.13,0.5,0,0.49,0.26,NUC
131,0.64,0.76,0.51,0.18,0.5,0,0.46,0.22,NUC
132,0.7,0.51,0.47,0.24,0.5,0,0.53,0.25,NUC
133,0.25,0.36,0.58,0.3,0.5,0,0.58,0.31,NUC
134,0.41,0.49,0.58,0.22,0.5,0,0.52,0.22,MIT
135,0.56,0.48,0.5,0.3,0.5,0,0.51,0.22,CYT
136,0.56,0.68,0.52,0.39,0.5,0,0.36,0.22,MIT
137,0.5,0.57,0.62,0.25,0.5,0,0.51,0.22,MIT
138,0.41,0.48,0.54,0.24,0.5,0,0.37,0.51,NUC
139,0.74,0.72,0.5,0.28,0.5,0,0.49,0.27,EXC
140,0.31,0.3,0.34,0.19,0.5,0,0.55,0.3,ME3
141,0.77,0.78,0.51,0.28,0.5,0,0.33,0.22,EXC
142,0.49,0.6,0.3,0.34,0.5,0,0.5,0.43,ME3
143,0.37,0.51,0.39,0.18,0.5,0,0.51,0.27,ME3
144,0.27,0.49,0.36,0.26,0.5,0,0.49,0.26,ME3
145,0.25,0.39,0.5,0.23,0.5,0,0.5,0.28,NUC
146,0.38,0.26,0.6,0.1,0.5,0,0.48,0.44,NUC
147,0.33,0.21,0.53,0.15,1,0,0.52,0.5,NUC
148,0.49,0.45,0.57,0.24,0.5,0,0.47,0.38,NUC
149,0.4,0.28,0.48,0.06,0.5,0,0.49,0.42,NUC
150,0.45,0.45,0.52,0.17,0.5,0,0.54,0.22,CYT
151,0.28,0.51,0.55,0.19,0.5,0,0.57,0.22,CYT
152,0.45,0.27,0.5,0.33,0.5,0,0.53,0.26,CYT
153,0.36,0.33,0.38,0.15,0.5,0,0.55,0.36,ME3
154,0.46,0.43,0.5,0.24,0.5,0,0.48,0.31,CYT
155,0.68,0.53,0.44,0.31,0.5,0,0.51,0.22,MIT
156,0.39,0.16,0.59,0.08,0.5,0,0.51,0.27,NUC
157,0.47,0.43,0.48,0.16,0.5,0,0.46,0.27,NUC
158,0.52,0.5,0.51,0.2,0.5,0,0.51,0.22,NUC
159,0.36,0.48,0.5,0.13,0.5,0,0.49,0.6,NUC
160,0.31,0.39,0.55,0.28,0.5,0,0.46,0.31,NUC
161,0.51,0.61,0.5,0.23,0.5,0,0.52,0.61,NUC
162,0.4,0.6,0.5,0.16,0.5,0,0.51,0.22,CYT
163,0.53,0.46,0.54,0.37,0.5,0,0.51,0.3,NUC
164,0.45,0.66,0.39,0.11,0.5,0,0.54,0.22,ME3
165,0.55,0.45,0.58,0.25,0.5,0,0.49,0.22,NUC
166,0.45,0.52,0.5,0.12,0.5,0,0.6,0.22,CYT
167,0.56,0.49,0.54,0.15,0.5,0,0.5,0.35,NUC
168,0.38,0.44,0.55,0.44,0.5,0,0.47,0.51,NUC
169,0.27,0.31,0.55,0.13,0.5,0,0.5,0.22,NUC
170,0.5,0.56,0.63,0.25,0.5,0,0.42,0.22,NUC
171,0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,CYT
172,0.61,0.48,0.56,0.19,0.5,0,0.53,0.31,CYT
173,0.37,0.44,0.64,0.48,0.5,0,0.36,0.27,CYT
174,0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,CYT
175,0.35,0.21,1,0.8,0.5,0,0.13,0.01,CYT
176,0.56,0.35,0.47,0.41,0.5,0,0.5,0.22,CYT
177,0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,CYT
178,0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,CYT
179,0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,CYT
180,0.48,0.41,0.52,0.33,0.5,0,0.51,0.26,CYT
181,0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,CYT
182,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,CYT
183,0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,CYT
184,0.77,0.86,0.44,0.27,0.5,0,0.48,0.22,ME1
185,0.5,0.48,0.48,0.23,0.5,0,0.53,0.68,CYT
186,0.52,0.54,0.47,0.49,0.5,0,0.54,0.22,MIT
187,0.49,0.38,0.56,0.09,0.5,0,0.46,0.22,CYT
188,0.41,0.49,0.47,0.09,0.5,0,0.49,0.22,CYT
189,0.41,0.4,0.56,0.17,0.5,0,0.56,0.22,CYT
190,0.39,0.71,0.38,0.14,0.5,0,0.5,0.22,ME2
191,0.39,0.3,0.63,0.2,0.5,0,0.43,0.47,CYT
192,0.77,0.82,0.4,0.36,0.5,0,0.38,0.22,ME1
193,0.42,0.28,0.33,0.23,0.5,0,0.39,0.26,ME3
194,0.47,0.37,0.46,0.28,0.5,0,0.52,0.99,NUC
195,0.48,0.5,0.47,0.29,0.5,0,0.46,0.27,NUC
196,0.49,0.49,0.52,0.18,0.5,0,0.51,0.25,NUC
197,0.56,0.59,0.45,0.15,0.5,0,0.54,0.22,MIT
198,0.7,0.57,0.34,0.19,0.5,0,0.53,0.27,ME2
199,0.47,0.44,0.53,0.18,0.5,0,0.47,0.29,NUC
200,0.42,0.28,0.49,0.22,0.5,0,0.55,0.34,NUC
201,0.47,0.5,0.47,0.22,0.5,0,0.53,0.45,NUC
202,0.33,0.47,0.55,0.24,0.5,0,0.45,0.67,NUC
203,0.55,0.4,0.62,0.22,0.5,0,0.37,0.28,NUC
204,0.54,0.47,0.58,0.4,0.5,0,0.46,0.27,MIT
205,0.46,0.5,0.5,0.28,0.5,0,0.5,0.37,NUC
206,0.38,0.58,0.46,0.21,0.5,0,0.52,0.22,NUC
207,0.55,0.47,0.53,0.2,0.5,0,0.4,0.22,NUC
208,0.47,0.32,0.51,0.24,0.5,0,0.54,0.27,NUC
209,0.61,0.5,0.61,0.21,0.5,0,0.55,0.54,CYT
210,0.52,0.56,0.55,0.16,0.5,0,0.53,0.39,CYT
211,0.41,0.42,0.23,0.16,0.5,0,0.4,0.22,ME3
212,0.4,0.65,0.38,0.17,0.5,0,0.57,0.22,ME3
213,0.36,0.37,0.63,0.25,0.5,0,0.3,0.22,CYT
214,0.49,0.55,0.41,0.19,0.5,0,0.48,0.31,ME3
215,0.88,0.72,0.32,0.3,0.5,0,0.52,0.33,ME1
216,0.28,0.18,0.72,0.26,0.5,0,0.49,0.25,MIT
217,0.58,0.43,0.32,0.11,0.5,0,0.49,0.22,VAC
218,0.75,0.76,0.58,0.22,0.5,0,0.49,0.22,EXC
219,0.51,0.59,0.55,0.21,0.5,0,0.52,0.22,CYT
220,0.5,0.49,0.46,0.22,0.5,0,0.53,0.25,CYT
221,0.62,0.42,0.47,0.16,0.5,0,0.52,0.22,CYT
222,0.5,0.45,0.52,0.18,0.5,0,0.52,0.22,CYT
223,0.59,0.51,0.47,0.21,0.5,0,0.47,0.22,CYT
224,0.49,0.48,0.52,0.24,0.5,0,0.5,0.22,CYT
225,0.57,0.35,0.5,0.43,0.5,0,0.53,0.22,CYT
226,0.49,0.51,0.52,0.13,0.5,0,0.51,0.33,NUC
227,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,CYT
228,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,CYT
229,0.55,0.79,0.45,0.25,0.5,0,0.51,0.22,NUC
230,0.31,0.31,0.57,0.15,0.5,0,0.5,0.22,CYT
231,0.33,0.36,0.62,0.26,0.5,0,0.55,0.22,CYT
232,0.47,0.56,0.58,0.19,0.5,0,0.44,0.64,CYT
233,0.4,0.56,0.53,0.15,0.5,0,0.49,0.22,CYT
234,0.44,0.49,0.49,0.27,0.5,0,0.52,0.22,CYT
235,0.49,0.46,0.54,0.18,0.5,0,0.35,0.22,CYT
236,0.59,0.48,0.41,0.53,0.5,0,0.48,0.56,ME3
237,0.33,0.46,0.53,0.12,0.5,0,0.5,0.27,CYT
238,0.5,0.5,0.48,0.34,0.5,0,0.52,0.27,NUC
239,0.36,0.52,0.61,0.33,0.5,0,0.52,0.37,NUC
240,0.52,0.51,0.48,0.12,0.5,0,0.54,0.31,CYT
241,0.47,0.46,0.49,0.27,0.5,0,0.59,0.22,CYT
242,0.55,0.44,0.5,0.09,0.5,0,0.55,0.22,VAC
243,0.66,0.37,0.6,0.25,0.5,0,0.69,0.22,MIT
244,0.51,0.49,0.48,0.55,0.5,0,0.52,0.58,CYT
245,0.68,0.68,0.35,0.16,0.5,0,0.62,0.22,VAC
246,0.57,0.54,0.32,0.15,0.5,0,0.52,0.25,VAC
247,0.46,0.52,0.51,0.13,0.5,0,0.47,0.22,CYT
248,0.53,0.52,0.49,0.27,0.5,0,0.51,0.22,CYT
249,0.54,0.44,0.38,0.22,0.5,0,0.54,0.3,ME3
250,0.8,0.82,0.4,0.31,0.5,0,0.57,0.25,ME1
251,0.4,0.4,0.43,0.19,0.5,0.83,0.48,0.22,POX
252,0.77,0.7,0.37,0.12,0.5,0,0.49,0.26,ME1
253,0.47,0.61,0.32,0.27,0.5,0,0.5,0.3,ME3
254,0.55,0.35,0.36,0.29,0.5,0,0.51,0.22,ME3
255,0.32,0.45,0.39,0.14,0.5,0,0.45,0.22,ME3
256,0.63,0.65,0.42,0.18,0.5,0,0.54,0.27,ME3
257,0.47,0.4,0.63,0.19,0.5,0,0.52,0.32,NUC
258,0.38,0.44,0.57,0.14,0.5,0,0.53,0.52,NUC
259,0.63,0.71,0.44,0.53,0.5,0,0.52,0.22,ME2
260,0.51,0.59,0.46,0.13,0.5,0,0.48,0.22,MIT
261,0.34,0.24,0.51,0.15,0.5,0,0.54,0.4,NUC
262,0.38,0.4,0.39,0.19,0.5,0,0.46,0.62,NUC
263,0.59,0.67,0.54,0.19,0.5,0,0.48,0.6,NUC
264,0.38,0.4,0.66,0.35,0.5,0,0.43,0.11,CYT
265,0.65,0.54,0.54,0.13,0.5,0,0.53,0.22,CYT
266,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,CYT
267,0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,CYT
268,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,MIT
269,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,NUC
270,0.59,0.6,0.49,0.43,0.5,0,0.53,0.31,MIT
271,0.37,0.46,0.4,0.27,0.5,0,0.45,0.22,NUC
272,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,MIT
273,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,CYT
274,0.35,0.39,0.57,0.11,0.5,0,0.48,0.22,NUC
275,0.29,0.43,0.4,0.15,0.5,0,0.53,0.22,ME3
276,0.4,0.34,0.52,0.17,0.5,0,0.47,0.51,NUC
277,0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,NUC
278,0.37,0.22,0.64,0.35,0.5,0,0.47,0.22,NUC
279,0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,CYT
280,0.3,0.5,0.34,0.26,0.5,0,0.51,0.22,ME3
281,0.75,0.66,0.64,0.39,0.5,0,0.46,0.32,MIT
282,0.31,0.42,0.48,0.17,0.5,0,0.49,0.53,NUC
283,0.28,0.46,0.26,0.18,0.5,0,0.39,0.22,VAC
284,0.45,0.53,0.47,0.43,0.5,0,0.5,0.27,MIT
285,0.69,0.7,0.5,0.3,0.5,0,0.54,0.22,VAC
286,0.61,0.46,0.54,0.11,0.5,0,0.47,0.22,CYT
287,0.38,0.38,0.54,0.24,0.5,0,0.54,0.22,NUC
288,0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,CYT
289,0.54,0.44,0.35,0.19,0.5,0,0.51,0.27,ME3
290,0.64,0.31,0.53,0.15,0.5,0,0.53,0.31,CYT
291,0.36,0.5,0.39,0.23,0.5,0,0.5,0.22,ME3
292,0.54,0.43,0.48,0.27,0.5,0,0.44,0.41,CYT
293,0.56,0.46,0.51,0.25,0.5,0,0.54,0.22,CYT
294,0.4,0.43,0.49,0.17,0.5,0,0.51,0.36,NUC
295,0.35,0.29,0.46,0.14,0.5,0,0.54,0.66,NUC
296,0.67,0.57,0.36,0.19,0.5,0,0.56,0.22,ME2
297,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,MIT
298,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,MIT
299,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,CYT
300,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,MIT
301,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,NUC
302,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,MIT
303,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,EXC
304,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,CYT
305,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,VAC
306,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,ME2
307,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,CYT
308,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,CYT
309,0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,CYT
310,0.81,0.85,0.47,0.37,0.5,0,0.56,0.22,EXC
311,0.5,0.58,0.46,0.46,0.5,0,0.46,0.22,MIT
312,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22,MIT
313,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,MIT
314,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,CYT
315,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22,ME3
316,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22,ME3
317,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,CYT
318,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,MIT
319,0.35,0.52,0.48,0.22,0.5,0,0.26,0.22,MIT
320,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22,ME3
321,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,NUC
322,0.5,0.64,0.57,0.15,0.5,0,0.47,0.22,CYT
323,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59,ME3
324,0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,CYT
325,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,NUC
326,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,CYT
