,f1,f2,f3,f4,f5,f6,f7,f8
0,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22
1,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22
2,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22
3,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66
4,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38
5,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22
6,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22
7,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22
8,0.8,0.63,0.45,0.29,0.5,0,0.51,0.22
9,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22
10,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22
11,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55
12,0.45,0.51,0.5,0.16,0.5,0,0.52,1
13,0.64,0.62,0.29,0.28,0.5,0,0.51,0.22
14,0.55,0.53,0.55,0.46,0.5,0,0.52,0.22
15,0.4,0.62,0.52,0.31,0.5,0,0.49,0.31
16,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22
17,0.34,0.54,0.5,0.21,0.5,0,0.54,0.31
18,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22
19,0.64,0.6,0.57,0.19,0.5,0,0.43,0.22
20,0.39,0.55,0.48,0.31,0.5,0,0.54,0.29
21,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44
22,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33
23,0.71,0.59,0.48,0.43,0.5,0,0.59,0.22
24,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22
25,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22
26,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25
27,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25
28,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22
29,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22
30,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25
31,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22
32,0.5,0.4,0.56,0.7,0.5,0,0.5,0.22
33,0.67,0.68,0.46,0.29,0.5,0,0.46,0.22
34,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22
35,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22
36,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22
37,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21
38,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22
39,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22
40,0.82,0.78,0.49,0.23,0.5,0,0.46,0.22
41,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22
42,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22
43,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22
44,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22
45,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22
46,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36
47,0.53,0.61,0.52,0.21,0.5,0,0.55,0.3
48,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29
49,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22
50,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22
51,0.57,0.59,0.44,0.16,0.5,0,0.52,0.22
52,0.36,0.46,0.43,0.19,0.5,0,0.48,0.22
53,0.54,0.55,0.42,0.22,0.5,0,0.48,0.22
54,0.81,0.82,0.41,0.36,0.5,0,0.39,0.22
55,0.46,0.48,0.44,0.21,0.5,0,0.55,0.22
56,0.74,0.72,0.47,0.25,0.5,0,0.57,0.22
57,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5
58,0.62,0.58,0.52,0.15,0.5,0,0.52,0.29
59,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42
60,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27
61,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36
62,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28
63,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22
64,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27
65,0.43,0.51,0.54,0.15,0.5,0,0.45,0.26
66,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22
67,0.38,0.47,0.53,0.12,0.5,0,0.48,0.22
68,0.34,0.66,0.51,0.16,0.5,0,0.47,0.33
69,0.6,0.48,0.44,0.52,0.5,0,0.54,0.63
70,0.48,0.34,0.47,0.14,0.5,0,0.47,0.26
71,0.48,0.46,0.38,0.29,0.5,0,0.53,0.22
72,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28
73,0.29,0.68,0.47,0.26,0.5,0,0.47,0.37
74,0.43,0.39,0.51,0.28,0.5,0,0.4,0.22
75,0.61,0.54,0.49,0.16,0.5,0,0.54,0.42
76,0.34,0.35,0.61,0.19,0.5,0,0.52,0.25
77,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22
78,0.34,0.34,0.61,0.18,0.5,0,0.52,0.32
79,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22
80,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22
81,0.5,0.53,0.45,0.44,0.5,0,0.49,0.22
82,0.67,0.51,0.53,0.28,0.5,0,0.51,0.22
83,0.59,0.57,0.46,0.14,0.5,0,0.52,0.22
84,0.42,0.32,0.61,0.13,0.5,0,0.14,0.27
85,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25
86,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28
87,0.85,0.56,0.33,0.38,1,0,0.55,0.25
88,0.53,0.5,0.54,0.56,0.5,0,0.49,0.41
89,0.36,0.35,0.47,0.22,0.5,0,0.44,0.31
90,0.87,0.83,0.57,0.36,0.5,0,0.36,0.22
91,0.43,0.45,0.54,0.14,0.5,0,0.5,0.31
92,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22
93,0.58,0.76,0.4,0.37,0.5,0,0.54,0.3
94,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22
95,0.43,0.38,0.51,0.24,0.5,0,0.46,0.33
96,0.54,0.54,0.49,0.14,0.5,0,0.56,0.22
97,0.53,0.44,0.47,0.22,0.5,0,0.53,0.22
98,0.46,0.47,0.46,0.16,0.5,0,0.51,0.22
99,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33
100,0.46,0.32,0.58,0.17,0.5,0,0.61,0.25
101,0.49,0.62,0.65,0.18,0.5,0,0.46,0.43
102,0.5,0.62,0.54,0.66,0.5,0,0.49,0.22
103,0.26,0.38,0.52,0.36,0.5,0,0.48,0.56
104,0.45,0.48,0.63,0.67,0.5,0,0.48,0.22
105,0.5,0.49,0.59,0.47,0.5,0,0.49,0.36
106,0.43,0.39,0.59,0.13,0.5,0,0.41,0.43
107,0.6,0.59,0.45,0.23,0.5,0,0.55,0.22
108,0.46,0.55,0.61,0.13,0.5,0,0.47,0.22
109,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31
110,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36
111,0.51,0.42,0.56,0.38,0.5,0,0.46,0.22
112,0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24
113,0.56,0.5,0.61,0.49,0.5,0,0.46,0.28
114,0.36,0.38,0.56,0.44,0.5,0,0.48,0.22
115,0.55,0.5,0.6,0.31,0.5,0,0.46,0.27
116,0.65,0.53,0.55,0.52,0.5,0,0.47,0.27
117,0.58,0.53,0.5,0.53,0.5,0,0.47,0.31
118,0.4,0.74,0.49,0.16,0.5,0,0.51,0.22
119,0.51,0.56,0.51,0.42,0.5,0,0.53,0.36
120,0.52,0.38,0.62,0.12,0.5,0,0.41,0.28
