,f1,f2,f3,f4,f5,f6,f7,f8,label
0,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,MIT
1,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,NUC
2,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,MIT
3,0.41,0.234210608,0.45,0.14,0.5,0,0.52,0.66,ME3
4,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,NUC
5,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,CYT
6,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,MIT
7,0.28,0.306173666,0.21,0.13,0.861661944,0.480212831,0.51,0.22,ME3
8,0.575244244,0.63,0.45,0.29,0.5,0.107210127,0.51,0.22,EXC
9,0.78,0.75,0.796685478,0.28,0.5,0.126316733,0.53,0.22,MIT
10,0.111672633,0.57,0.57,0.27,0.5,0,0.37,0.22,CYT
11,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,NUC
12,0.45,0.51,0.5,0.16,0.5,0,0.52,1,NUC
13,0.64,0.62,0.29,0.899907005,0.5,0,0.51,0.22,MIT
14,0.55,0.53,0.716847259,0.46,0.5,0,0.52,0.22,MIT
15,0.4,0.35443152,0.52,0.31,0.5,0,0.49,0.31,CYT
16,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,NUC
17,0.34,0.199609016,0.5,0.21,0.5,0,0.54,0.873770111,CYT
18,0.48,0.54,0.5,0.594310367,0.5,0,0.53,0.22,NUC
19,0.64,0.808379574,0.57,0.19,0.5,0,0.43,0.680242869,NUC
20,0.39,0.55,0.48,0.31,0.5,0.569593756,0.32672211,0.29,CYT
21,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,CYT
22,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,CYT
23,0.71,0.59,0.48,0.43,0.5,0,0.59,0.22,MIT
24,0.44,0.38,0.48,0.32,0.564381894,0.83,0.53,0.22,POX
25,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,CYT
26,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,CYT
27,0.59,0.5,0.52,0.737889575,0.5,0.607771964,0.55,0.25,CYT
28,0.37,0.42,0.51,0.11,0.5,0,0.57,0.168336805,CYT
29,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,ME1
30,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,MIT
31,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,MIT
32,0.340924283,0.4,0.56,0.7,0.880791574,0,0.5,0.22,MIT
33,0.503505885,0.68,0.46,0.29,0.5,0.580886347,0.204757766,0.22,MIT
34,0.53,0.51,0.46,0.28,0.5,0,0.389879997,0.22,CYT
35,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22,ME3
36,0.558738551,0.41,0.58,0.21,0.5,0,0.42,0.22,CYT
37,0.34,0.36,0.54,0.11,0.5,0,0.517014114,0.21,NUC
38,0.69,0.61,0.38,0.151107726,0.5,0,0.52,0.22,ME2
39,0.37,0.53,0.6,0.19,0.5,0.5,0.113433311,0.22,POX
40,0.82,0.78,0.49,0.23,0.5,0,0.46,0.22,EXC
41,0.38,0.222072459,0.75,0.17,0.819886761,0,0.560510028,0.22,CYT
42,0.53,0.44,0.51,0.436759574,0.5,0,0.52,0.22,MIT
43,0.53,0.53,0.6,0.13,0.5,0,0.68684865,0.22,MIT
44,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,CYT
45,0.41,0.24,0.54,0.26,0.718847505,0,0.41,0.22,NUC
46,0.47,0.65,0.54,0.41018308,0.5,0,0.53,0.36,MIT
47,0.53,0.61,0.52,0.540794223,0.5,0,0.55,0.772483132,NUC
48,0.46,0.35,0.53,0.16,0.5,0.329929349,0.51,0.29,CYT
49,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,CYT
50,0.71,0.56,0.39,0.27,0.5,0,0.375202953,0.22,ME2
51,0.57,0.59,0.44,0.16,0.5,0,0.52,0.383868214,ME2
52,0.36,0.773892277,0.914166077,0.19,0.5,0,0.48,0.22,ME3
53,0.54,0.55,0.42,0.22,0.5,0,0.48,0.22,ME3
54,0.81,0.82,0.41,0.008307203,0.5,0,0.39,0.22,EXC
55,0.46,0.48,0.44,0.21,0.5,0,0.55,0.22,POX
56,0.74,0.72,0.692067917,0.25,0.5,0.314650429,0.57,0.22,ME1
57,0.84,0.66,0.36,0.78,0.5,0.454418431,0.49,0.5,ME1
58,0.62,0.58,0.52,0.15,0.5,0.512941036,0.52,0.29,CYT
59,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,NUC
60,0.251287494,0.44,0.49,0.15,0.5,0,0.638986611,0.27,NUC
61,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36,NUC
62,0.32,0.38,0.7394375,0.2,0.5,0,0.52,0.671470931,CYT
63,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,CYT
64,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27,NUC
65,0.43,0.51,0.54,0.15,0.5,0,0.311832411,0.26,NUC
66,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,CYT
67,0.38,0.47,0.53,0.12,0.5,0,0.48,0.22,CYT
68,0.34,0.66,0.51,0.16,0.5,0,0.47,0.33,NUC
69,0.6,0.48,0.44,0.52,0.9304526,0,0.54,0.63,NUC
70,0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,CYT
71,0.543023495,0.595053403,0.38,0.29,0.5,0,0.53,0.22,ME3
72,0.737988805,0.809159379,0.58,0.22,0.5,0,0.5,0.565511388,NUC
73,0.29,0.68,0.47,0.26,0.5,0.404625777,0.47,0.37,NUC
74,0.43,0.39,0.51,0.28,0.5,0,0.4,0.22,NUC
75,0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,CYT
76,0.34,0.35,0.61,0.19,0.5,0.430760457,0.52,0.25,NUC
77,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22,ME3
78,0.34,0.34,0.61,0.18,0.5,0.58926688,0.52,0.32,NUC
79,0.34,0.4,0.3,0.23,0.694507718,0,0.51,0.22,ME3
80,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,ME3
81,0.5,0.53,0.45,0.44,0.5,0,0.49,0.22,MIT
82,0.67,0.51,0.53,0.005503756,0.5,0,0.51,0.22,MIT
83,0.59,0.57,0.46,0.14,0.5,0.657404466,0.52,0.22,MIT
84,0.42,0.32,0.61,0.13,0.5,0,0.14,0.27,NUC
85,0.4,0.51,0.601733651,0.13,0.5,0.25192629,0.45,0.25,ME3
86,0.65,0.61,0.664693184,0.3,0.5,0,0.57,0.28,ME3
87,0.85,0.56,0.33,0.38,1,0,0.55,0.25,ERL
88,0.53,0.5,0.54,0.56,0.5,0,0.49,0.41,MIT
89,0.36,0.35,0.388381598,0.22,0.5,0,0.44,0.31,ME3
90,0.87,0.83,0.57,0.36,0.5,0,0.551353003,0.17946136,EXC
91,0.43,0.45,0.54,0.14,0.5,0.074056728,0.134041852,0.31,CYT
92,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22,ME2
93,0.58,0.76,0.4,0.37,0.5,0,0.54,0.3,ME2
94,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22,ME2
95,0.43,0.38,0.51,0.24,0.5,0,0.46,0.236668936,NUC
96,0.54,0.54,0.49,0.14,0.5,0,0.53443836,0.22,CYT
97,0.53,0.44,0.47,0.22,0.5,0,0.53,0.22,NUC
98,0.46,0.47,0.46,0.818137258,0.5,0,0.51,0.22,CYT
99,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33,NUC
100,0.627205173,0.32,0.338108711,0.17,0.5,0,0.61,0.25,NUC
101,0.49,0.62,0.65,0.18,0.5,0,0.46,0.43,NUC
102,0.5,0.62,0.54,0.66,0.5,0,0.49,0.22,MIT
103,0.26,0.386460226,0.52,0.36,0.5,0,0.48,0.56,NUC
104,0.813955617,0.48,0.86865877,0.67,0.5,0,0.48,0.22,MIT
105,0.5,0.49,0.59,0.47,0.5,0,0.49,0.36,MIT
106,0.43,0.39,0.59,0.13,0.5,0,0.41,0.43,NUC
107,0.6,0.59,0.45,0.23,0.5,0,0.55,0.22,MIT
108,0.46,0.55,0.816795892,0.13,0.5,0,0.47,0.22,CYT
109,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31,ME2
110,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36,MIT
111,0.51,0.42,0.56,0.38,0.5,0,0.46,0.22,MIT
112,0.6,0.434993235,0.6,0.38,0.5,0.83,0.52,0.24,MIT
113,0.56,0.5,0.61,0.49,0.5,0,0.46,0.28,MIT
114,0.36,0.38,0.56,0.44,0.5,0,0.48,0.22,MIT
115,0.55,0.5,0.6,0.31,0.5,0,0.46,0.27,MIT
116,0.65,0.54176702,0.55,0.52,0.5,0,0.47,0.27,MIT
117,0.58,0.372173885,0.5,0.53,0.5,0,0.47,0.31,MIT
118,0.4,0.74,0.49,0.16,0.899381347,0,0.51,0.22,MIT
119,0.51,0.56,0.51,0.42,0.5,0,0.53,0.36,MIT
120,0.52,0.38,0.62,0.12,0.5,0,0.41,0.28,NUC
121,0.63,0.6,0.5,0.27,0.638741241,0,0.55,0.347022658,MIT
122,0.61,0.59,0.47,0.49,0.5,0,0.54,0.22,MIT
123,0.58,0.38,0.953727914,0.21,0.5,0,0.5,0.22,CYT
124,0.470342691,0.41,0.5,0.24,1,0,0.47,0.22,CYT
125,0.58,0.56,0.52,0.993972719,0.5,0,0.57,0.35,NUC
126,0.49,0.6,0.55,0.17,0.695629243,0,0.44,0.22,CYT
127,0.56,0.63,0.52,0.2,0.720306793,0,0.563665932,0.26,NUC
128,0.37,0.41,0.45,0.14,0.5,0,0.47,0.22,CYT
129,0.35,0.5,0.433615563,0.27,0.5,0,0.51,0.22,CYT
130,0.44,0.34,0.42367242,0.13,0.5,0,0.49,0.26,NUC
131,0.64,0.76,0.51,0.862418944,0.5,0,0.46,0.889817343,NUC
132,0.7,0.51,0.47,0.24,0.5,0,0.53,0.25,NUC
133,0.25,0.36,0.58,0.3,0.5,0,0.58,0.31,NUC
134,0.41,0.49,0.58,0.22,0.5,0,0.52,0.22,MIT
135,0.56,0.48,0.5,0.3,0.5,0,0.51,0.22,CYT
136,0.56,0.68,0.667198741,0.39,0.5,0.357631043,0.36,0.346901352,MIT
137,0.492390192,0.57,0.62,0.25,0.5,0,0.061051845,0.40111564,MIT
138,0.41,0.48,0.54,0.209893707,0.5,0,0.37,0.51,NUC
139,0.74,0.72,0.5,0.28,0.5,0,0.49,0.27,EXC
140,0.31,0.3,0.34,0.19,0.790612628,0,0.55,0.3,ME3
141,0.77,0.78,0.51,0.28,0.5,0.817101654,0.33,0.22,EXC
142,0.49,0.6,0.3,0.138939811,0.5,0,0.5,0.43,ME3
143,0.37,0.722687367,0.453050744,0.18,0.5,0.269716185,0.51,0.879867638,ME3
144,0.27,0.49,0.36,0.26,0.5,0,0.284780907,0.483838026,ME3
145,0.25,0.39,0.5,0.23,0.5,0.630145259,0.5,0.28,NUC
146,0.38,0.26,0.945678503,0.513737596,0.5,0,0.48,0.44,NUC
147,0.33,0.21,0.53,0.15,1,0,0.52,0.5,NUC
148,0.49,0.45,0.57,0.24,0.5,0,0.47,0.38,NUC
149,0.4,0.28,0.48,0.06,0.5,0,0.49,0.42,NUC
150,0.45,0.45,0.52,0.17,0.5,0,0.199953491,0.22,CYT
151,0.28,0.51,0.55,0.19,0.5,0,0.354685276,0.993567006,CYT
152,0.45,0.27,0.5,0.33,0.5,0,0.53,0.26,CYT
153,0.244447759,0.33,0.995143872,0.15,0.5,0,0.55,0.36,ME3
154,0.46,0.43,0.5,0.24,0.5,0,0.48,0.31,CYT
155,0.68,0.53,0.712961983,0.31,0.5,0,0.51,0.22,MIT
156,0.39,0.16,0.59,0.08,0.5,0,0.51,0.27,NUC
157,0.47,0.43,0.48,0.16,0.5,0,0.46,0.27,NUC
158,0.337866418,0.5,0.51,0.968084436,0.5,0,0.51,0.22,NUC
159,0.36,0.48,0.5,0.13,0.5,0,0.49,0.6,NUC
160,0.31,0.39,0.55,0.28,0.5,0,0.46,0.31,NUC
161,0.956308497,0.61,0.5,0.23,0.5,0,0.52,0.61,NUC
162,0.4,0.6,0.5,0.16,0.5,0,0.51,0.22,CYT
163,0.53,0.46,0.54,0.37,0.5,0,0.51,0.261230184,NUC
164,0.45,0.66,0.39,0.11,0.5,0,0.54,0.22,ME3
165,0.670120151,0.45,0.58,0.25,0.5,0,0.49,0.22,NUC
166,0.45,0.52,0.421835535,0.12,0.650385153,0,0.11265989,0.22,CYT
167,0.56,0.49,0.54,0.15,0.55968805,0,0.5,0.654639178,NUC
168,0.38,0.44,0.55,0.44,0.5,0,0.47,0.978552339,NUC
169,0.27,0.31,0.55,0.13,0.5,0,0.5,0.22,NUC
170,0.5,0.56,0.63,0.25,0.5,0,0.42,0.22,NUC
171,0.59,0.51,0.48,0.12,0.5,0,0.627405956,0.31,CYT
172,0.61,0.48,0.56,0.19,0.5,0.300987016,0.53,0.31,CYT
173,0.37,0.44,0.64,0.48,0.714956887,0,0.36,0.27,CYT
174,0.63,0.334287756,0.45,0.26,0.928578265,0,0.43,0.22,CYT
175,0.35,0.21,1,0.8,0.5,0,0.13,0.01,CYT
176,0.56,0.35,0.47,0.41,0.5,0,0.5,0.22,CYT
177,0.52,0.43,0.61,0.22,0.5,0,0.45,0.275813603,CYT
178,0.52,0.893272089,0.61,0.22,0.5,0,0.45,0.22,CYT
179,0.32,0.44,0.54,0.803418552,0.5,0,0.4,0.19,CYT
180,0.48,0.41,0.52,0.33,0.5,0,0.106301451,0.26,CYT
181,0.46,0.536073488,0.59,0.41,0.5,0,0.53,0.21,CYT
182,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,CYT
183,0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,CYT
184,0.77,0.86,0.44,0.27,0.5,0,0.48,0.122876345,ME1
185,0.5,0.48,0.48,0.23,0.5,0,0.53,0.68,CYT
186,0.52,0.605295239,0.47,0.49,0.5,0,0.54,0.22,MIT
187,0.49,0.38,0.56,0.09,0.5,0,0.46,0.183596289,CYT
188,0.41,0.49,0.47,0.09,0.5,0,0.49,0.22,CYT
189,0.41,0.4,0.56,0.17,0.591580378,0,0.56,0.22,CYT
190,0.39,0.292374053,0.38,0.14,0.612142648,0,0.5,0.22,ME2
191,0.39,0.3,0.843157414,0.2,0.5,0,0.43,0.47,CYT
192,0.864613532,0.82,0.4,0.90729102,0.5,0,0.38,0.22,ME1
193,0.42,0.28,0.33,0.23,0.5,0,0.39,0.26,ME3
194,0.47,0.378396235,0.46,0.28,0.5,0.27036658,0.660299175,0.99,NUC
195,0.218534184,0.5,0.47,0.29,0.5,0,0.46,0.27,NUC
196,0.49,0.192906334,0.52,0.18,0.5,0,0.51,0.013149471,NUC
197,0.56,0.59,0.45,0.15,0.5,0,0.54,0.22,MIT
198,0.7,0.57,0.34,0.19,0.5,0,0.53,0.27,ME2
199,0.47,0.44,0.53,0.18,0.5,0,0.47,0.29,NUC
200,0.294276343,0.28,0.49,0.22,0.5,0,0.55,0.798045023,NUC
201,0.47,0.5,0.47,0.22,0.897721942,0,0.53,0.45,NUC
202,0.33,0.47,0.55,0.245562491,0.5,0,0.45,0.67,NUC
203,0.55,0.4,0.62,0.22,0.660989599,0,0.37,0.28,NUC
204,0.54,0.47,0.469883505,0.4,0.5,0,0.46,0.27,MIT
205,0.46,0.5,0.5,0.28,0.5,0,0.5,0.37,NUC
206,0.38,0.58,0.46,0.21,0.5,0,0.52,0.22,NUC
207,0.55,0.47,0.53,0.2,0.5,0,0.4,0.22,NUC
208,0.47,0.32,0.51,0.368136044,0.830682951,0.755728342,0.672698816,0.27,NUC
209,0.61,0.5,0.61,0.21,0.5,0,0.55,0.54,CYT
210,0.52,0.56,0.55,0.16,0.5,0,0.53,0.39,CYT
211,0.41,0.42,0.23,0.16,0.5,0,0.4,0.22,ME3
212,0.4,0.65,0.38,0.17,0.5,0,0.246538994,0.22,ME3
213,0.36,0.37,0.63,0.25,0.5,0,0.3,0.22,CYT
214,0.49,0.91641585,0.956325033,0.19,0.5,0,0.228354972,0.31,ME3
215,0.88,0.761751982,0.32,0.3,0.5,0,0.52,0.33,ME1
216,0.28,0.18,0.72,0.127790387,0.690810164,0,0.49,0.25,MIT
217,0.58,0.43,0.32,0.11,0.5,0,0.49,0.634268279,VAC
218,0.75,0.76,0.58,0.22,0.5,0,0.49,0.22,EXC
219,0.51,0.59,0.55,0.21,0.5,0,0.52,0.22,CYT
220,0.5,0.49,0.678949009,0.22,0.5,0,0.53,0.25,CYT
221,0.62,0.640787879,0.47,0.404902504,0.5,0,0.52,0.752675481,CYT
222,0.5,0.45,0.52,0.18,0.5,0,0.52,0.22,CYT
223,0.59,0.51,0.47,0.21,0.5,0.194831471,0.47,0.22,CYT
224,0.453532629,0.48,0.52,0.24,0.5,0,0.5,0.22,CYT
225,0.57,0.35,0.5,0.43,0.5,0,0.53,0.22,CYT
226,0.49,0.51,0.52,0.13,0.5,0,0.51,0.33,NUC
227,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,CYT
228,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,CYT
229,0.55,0.79,0.45,0.25,0.820370491,0,0.065250259,0.22,NUC
230,0.31,0.31,0.57,0.15,0.5,0,0.5,0.22,CYT
231,0.33,0.36,0.791924202,0.26,0.5,0.517794575,0.55,0.22,CYT
232,0.47,0.56,0.58,0.19,0.5,0,0.44,0.64,CYT
233,0.546624981,0.56,0.53,0.15,0.5,0,0.49,0.22,CYT
234,0.44,0.49,0.49,0.27,0.5,0.019582757,0.52,0.22,CYT
235,0.49,0.46,0.54,0.655766211,0.5,0,0.35,0.22,CYT
236,0.59,0.48,0.41,0.53,0.861279386,0,0.380276192,0.56,ME3
237,0.33,0.46,0.53,0.12,0.5,0,0.5,0.27,CYT
238,0.5,0.5,0.48,0.34,0.5,0,0.52,0.27,NUC
239,0.36,0.52,0.61,0.33,0.5,0,0.52,0.37,NUC
240,0.52,0.51,0.48,0.12,0.5,0,0.54,0.31,CYT
241,0.47,0.46,0.49,0.27,0.5,0,0.59,0.22,CYT
242,0.902986647,0.44,0.5,0.09,0.5,0,0.55,0.22,VAC
243,0.66,0.37,0.66597286,0.25,0.5,0.166286944,0.69,0.22,MIT
244,0.51,0.49,0.48,0.55,0.5,0.577253868,0.52,0.58,CYT
245,0.68,0.68,0.35,0.16,0.5,0,0.62,0.22,VAC
246,0.57,0.54,0.32,0.15,0.5,0,0.52,0.25,VAC
247,0.961685411,0.52,0.51,0.987450779,0.5,0,0.47,0.22,CYT
248,0.53,0.925621172,0.49,0.216626306,0.5,0,0.51,0.22,CYT
249,0.54,0.44,0.38,0.22,0.5,0,0.54,0.3,ME3
250,0.8,0.82,0.4,0.31,0.5,0,0.57,0.25,ME1
251,0.4,0.4,0.43,0.499841133,0.5,0.83,0.48,0.884927124,POX
252,0.77,0.7,0.37,0.12,0.5,0,0.49,0.26,ME1
253,0.47,0.61,0.32,0.27,0.5,0,0.670432334,0.3,ME3
254,0.555600612,0.35,0.36,0.29,0.5,0,0.51,0.528902048,ME3
255,0.32,0.45,0.39,0.14,0.5,0,0.45,0.22,ME3
256,0.63,0.65,0.522323221,0.18,0.5,0,0.257910369,0.27,ME3
257,0.47,0.34447337,0.63,0.19,0.5,0,0.52,0.32,NUC
258,0.38,0.44,0.57,0.14,0.5,0,0.53,0.52,NUC
259,0.141017913,0.71,0.44,0.53,0.5,0,0.52,0.22,ME2
260,0.51,0.59,0.46,0.405890013,0.5,0,0.48,0.22,MIT
261,0.34,0.24,0.51,0.15,0.5,0,0.54,0.4,NUC
262,0.38,0.416670998,0.39,0.19,0.5,0,0.46,0.62,NUC
263,0.59,0.67,0.54,0.19,0.5,0,0.48,0.6,NUC
264,0.38,0.4,0.66,0.35,0.5,0,0.11506035,0.11,CYT
265,0.65,0.54,0.54,0.13,0.5,0,0.53,0.22,CYT
266,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,CYT
267,0.58,0.51,0.49,0.27,0.716152961,0,0.57,0.29,CYT
268,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,MIT
269,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,NUC
270,0.777576854,0.6,0.732454349,0.27178299,0.5,0,0.53,0.31,MIT
271,0.37,0.46,0.4,0.27,0.503145733,0,0.45,0.22,NUC
272,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,MIT
273,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,CYT
274,0.998185256,0.39,0.57,0.11,0.5,0,0.48,0.22,NUC
275,0.29,0.43,0.4,0.15,0.5,0,0.53,0.22,ME3
276,0.4,0.34,0.52,0.17,0.5,0,0.47,0.51,NUC
277,0.37,0.34,0.58,0.24,0.625728669,0,0.44,0.219486579,NUC
278,0.84134792,0.253785402,0.64,0.734626342,0.5,0,0.47,0.22,NUC
279,0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,CYT
280,0.3,0.5,0.34,0.26,0.666869541,0,0.51,0.22,ME3
281,0.75,0.66,0.64,0.39,0.5,0,0.46,0.32,MIT
282,0.31,0.42,0.48,0.17,0.5,0,0.49,0.53,NUC
283,0.28,0.46,0.26,0.06823184,0.983253467,0.088379465,0.39,0.22,VAC
284,0.45,0.53,0.47,0.43,0.5,0,0.5,0.27,MIT
285,0.69,0.7,0.356536734,0.3,0.5,0,0.54,0.22,VAC
286,0.61,0.654365548,0.54,0.11,0.5,0,0.47,0.22,CYT
287,0.38,0.38,0.54,0.24,0.5,0,0.54,0.22,NUC
288,0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,CYT
289,0.54,0.44,0.35,0.19,0.5,0,0.51,0.27,ME3
290,0.337587966,0.31,0.434347205,0.15,0.5,0,0.53,0.31,CYT
291,0.36,0.5,0.39,0.23,0.550277441,0.416168069,0.5,0.22,ME3
292,0.54,0.43,0.48,0.27,0.5,0,0.44,0.41,CYT
293,0.56,0.46,0.51,0.25,0.5,0,0.54,0.820184109,CYT
294,0.177304973,0.43,0.49,0.17,0.5,0,0.51,0.36,NUC
295,0.35,0.29,0.46,0.14,0.5,0,0.54,0.66,NUC
296,0.67,0.691430786,0.36,0.19,0.5,0,0.56,0.22,ME2
297,0.42,0.227872567,0.48,0.54,0.5,0,0.48,0.22,MIT
298,0.597809889,0.54,0.48,0.65,0.5,0,0.53,0.22,MIT
299,0.4,0.42,0.57,0.35,0.851043549,0,0.53,0.25,CYT
300,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,MIT
301,0.728622876,0.54,0.43,0.1,0.5,0,0.57,0.32,NUC
302,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,MIT
303,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,EXC
304,0.4,0.45,0.57,0.198419069,0.5,0,0.56,0.26,CYT
305,0.37,0.36,0.56,0.18,0.5,0.613536372,0.48,0.26,VAC
306,0.147186553,0.538231946,0.58,0.47,0.5,0,0.4,0.35,ME2
307,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,CYT
308,0.529584193,0.48,0.44,0.08,0.862374397,0,0.52,0.27,CYT
309,0.6,0.47,0.45,0.22,0.938784753,0,0.51,0.29,CYT
310,0.81,0.85,0.47,0.37,0.5,0,0.56,0.22,EXC
