,f1,f2,f3,f4,f5,f6,f7,f8,o
0,0.42,0.44,0.48,0.823929672,0.5,0,0.48,0.22,MIT
1,0.5,0.54,0.48,0.826954966,0.5,0,0.53,0.22,MIT
2,0.492416944,0.809116055,0.57,0.218930289,0.5,0.061201212,0.53,0.25,CYT
3,0.405167318,0.51,0.239315445,0.859503297,0.5,0,0.54,0.22,MIT
4,0.53,0.54,0.442348428,0.1,0.5,0,0.57,0.097436273,NUC
5,0.51,0.51,0.43,0.87,0.516670688,0,0.52,0.22,MIT
6,0.956168918,0.67,0.47,0.34,0.5,0,0.42,0.22,EXC
7,0.403415779,0.45,0.57,0.18,0.5,0.409475207,0.56,0.26,CYT
8,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,VAC
9,0.74,0.75,0.58,0.47,0.54763136,0,0.4,0.35,ME2
10,0.53,0.44,0.51,0.33,0.752790535,0,0.55,0.275835238,CYT
11,0.54,0.48,0.44,0.295502179,0.551671839,0.746428737,0.492074313,0.27,CYT
12,0.6,0.47,0.45,0.22,0.5,0.749103462,0.51,0.29,CYT
13,0.672777201,0.85,0.47,0.37,0.5,0,0.56,0.22,EXC
14,0.5,0.422915105,0.46,0.46,0.5,0.42060396,0.318261889,0.855675629,MIT
15,0.51,0.54,0.6,0.896606674,0.5,0.662381338,0.58,0.22,MIT
16,0.67,0.677473661,0.4,0.43,0.5,0.83,0.5,0.22,MIT
17,0.182478039,0.47,0.52,0.41,0.532539246,0.49445955,0.53,0.32,CYT
18,0.504443625,0.58,0.35,0.24,0.5,0,0.44,0.22,ME3
19,0.36,0.43,0.39,0.12,0.5,0,0.303902429,0.22,ME3
20,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,CYT
21,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,MIT
22,0.222428305,0.746833317,0.48,0.22,0.738584247,0.302896477,0.26,0.827396053,MIT
23,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22,ME3
24,0.4,0.38,0.53,0.16,0.5,0,0.216969087,0.27,NUC
25,0.5,0.64,0.57,0.15,0.5,0,0.47,0.502300982,CYT
26,0.39,0.58,0.43159656,0.822700293,0.5,0,0.54,0.59,ME3
27,0.39,0.47,0.56,0.16,0.5,0,0.47,0.059580365,CYT
28,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,NUC
29,0.87861759,0.57,0.53,0.208620533,0.5,0,0.54,0.22,CYT
30,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,NUC
31,0.36,0.68,0.46,0.16,0.912498182,0,0.53,0.28,NUC
32,0.42,0.688328641,0.850623739,0.15,0.5,0,0.53,0.22,NUC
33,0.187310125,0.314279433,0.52,0.65,0.5,0.120282665,0.53,0.36,NUC
34,0.26,0.5,0.268271507,0.28,0.5,0.260697121,0.51,0.22,ME3
35,0.31,0.638272235,0.53,0.14245472,0.5,0,0.51,0.62200926,NUC
36,0.38,0.923928804,0.44,0.45,0.95421208,0,0.53,0.22,MIT
37,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,CYT
38,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,CYT
39,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,MIT
40,0.59,0.61,0.34,0.22,0.5,0,0.51,0.700985955,MIT
41,0.52,0.151586301,0.227560391,0.34,0.5,0,0.51,0.22,MIT
42,0.5,0.52,0.6,0.51,0.5,0,0.367766497,0.22,MIT
43,0.77,0.79,0.317191085,0.23,0.5,0,0.628893703,0.22,EXC
44,0.741442777,0.75,0.54,0.23,0.5,0,0.46,0.22,EXC
45,0.4,0.56,0.48,0.14,0.5,0,0.379846898,0.22,MIT
46,0.42,0.57,0.817342165,0.22,0.5,0,0.57,0.22,MIT
47,0.781875832,0.53,0.52,0.23,0.803188443,0.83,0.51,0.014180274,POX
48,0.59,0.58,0.56,0.21,0.714643701,0,0.54,0.33,NUC
49,0.27,0.36,0.6,0.33,0.81166806,0,0.37,0.31,NUC
50,0.620666727,0.4,0.59,0.417486213,0.5,0,0.47,0.37,NUC
51,0.83,0.58,0.33,0.04,0.945802801,0,0.53,0.22,ME2
52,0.52,0.54,0.728463603,0.21,0.5,0,0.067585271,0.3,CYT
53,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,CYT
54,0.92,0.61,0.4,0.305908458,0.5,0,0.54,0.22,ME2
55,0.239556533,0.56,0.45,0.14,0.5,0,0.54,0.22,CYT
56,0.63,0.61,0.41,0.22,0.5,0.797522275,0.564214605,0.22,ME3
57,0.34,0.212801263,0.45,0.19,0.5,0,0.32455597,0.22,ME2
58,0.77,0.8,0.51,0.4,0.823447067,0.129747043,0.54,0.909682038,ERL
59,0.57,0.61,0.341440621,0.26,0.5,0,0.5,0.22,CYT
60,0.25,0.4,0.236291613,0.18,0.5,0,0.606594737,0.27,CYT
61,0.54,0.57,0.52,0.19,0.5,0,0.59,0.67,NUC
62,0.42,0.52,0.4,0.17,0.5,0,0.5,0.749803871,ME3
63,0.91,0.77,0.34,0.47,0.5,0.212850634,0.52,0.31,ME1
64,0.41,0.39,0.51,0.52,0.5,0,0.49,0.374660382,CYT
65,0.69,0.512119717,0.5,0.31,0.5,0,0.661447035,0.22,CYT
66,0.116902698,0.66,0.57,0.32,0.5,0,0.57,0.34,CYT
67,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27,NUC
68,0.436825504,0.31,0.423600327,0.18,0.5,0.172125893,0.652420874,0.29,NUC
69,0.91,0.69,0.57,0.45,0.5,0,0.56,0.22,ME2
70,0.59,0.43,0.52,0.792695882,0.5,0.605313743,0.55,0.098519211,CYT
71,0.49,0.31,0.34,0.13,0.5,0,0.52,0.22,ME3
72,0.58,0.48,0.734488067,0.1,0.5,0,0.46,0.25,NUC
73,0.58,0.48,0.51527641,0.12,0.5,0,0.46,0.25,NUC
74,0.58,0.45,0.84047198,0.24,0.5,0.081547396,0.52,0.37,CYT
75,0.41,0.6,0.53,0.895063178,0.871739127,0,0.47,0.43,NUC
76,0.69,0.5,0.49,0.42,0.620342749,0,0.49,0.22,MIT
77,0.21,0.38,0.402498042,0.16,0.5,0,0.51,0.45,CYT
78,0.46,0.57,0.57,0.15,0.588869109,0,0.52,0.921692833,NUC
79,0.57,0.59,0.76271056,0.58,0.5,0,0.53,0.22,MIT
80,0.44,0.838722294,0.771564494,0.878411239,0.5,0,0.55,0.37,NUC
81,0.39,0.380073758,0.55,0.52,0.5,0,0.090992702,0.74968313,NUC
82,0.51,0.48,0.827782652,0.312280893,0.5,0,0.5,0.957687383,NUC
83,0.53,0.692995983,0.53,0.17,0.980413151,0,0.49,0.37,NUC
84,0.516210307,0.34,0.61,0.247235371,0.651721463,0,0.606104881,0.32,NUC
85,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22,CYT
86,0.49,0.4,0.481411163,0.26,0.5,0.739024602,0.5,0.269473238,ME3
87,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22,POX
88,0.53,0.56,0.49,0.46,0.852408502,0,0.52,0.22,MIT
89,0.51,0.52,0.48,0.5,0.5,0,0.082212141,0.22,MIT
90,0.763648769,0.59,0.53,0.74,0.5,0,0.47,0.25,MIT
91,0.47,0.63,0.66,0.45,0.5,0.068234242,0.37,0.143921887,MIT
92,0.56,0.45,0.59,0.14,0.5,0,0.51,0.26,NUC
93,0.960907814,0.46,0.748600178,0.403553097,0.5,0,0.56,0.55,ME3
